Student_ID,UnixTime_mean,UnixTime_std,UnixTime_min,UnixTime_max,Row_mean,Row_std,Row_min,Row_max,SampleNumber_mean,SampleNumber_std,SampleNumber_min,SampleNumber_max,Timestamp RAW_mean,Timestamp RAW_std,Timestamp RAW_min,Timestamp RAW_max,Timestamp CAL_mean,Timestamp CAL_std,Timestamp CAL_min,Timestamp CAL_max,System Timestamp CAL_mean,System Timestamp CAL_std,System Timestamp CAL_min,System Timestamp CAL_max,VSenseBatt RAW_mean,VSenseBatt RAW_std,VSenseBatt RAW_min,VSenseBatt RAW_max,VSenseBatt CAL_mean,VSenseBatt CAL_std,VSenseBatt CAL_min,VSenseBatt CAL_max,GSR RAW_mean,GSR RAW_std,GSR RAW_min,GSR RAW_max,GSR Resistance CAL_mean,GSR Resistance CAL_std,GSR Resistance CAL_min,GSR Resistance CAL_max,GSR Conductance CAL_mean,GSR Conductance CAL_std,GSR Conductance CAL_min,GSR Conductance CAL_max,Packet reception rate RAW_mean,Packet reception rate RAW_std,Packet reception rate RAW_min,Packet reception rate RAW_max
11,1676894270.544085,331.1227781234498,1676893697.0385537,1676894844.0458355,73411.0,42383.71627366655,1,146821,87433.0,42382.561573128165,14025.0,160841.0,8364434.106867733,5178538.435391592,220.0,16777180.0,683070.3125,331113.76229009125,109570.3125,1256570.3125,1676894271510.2043,331113.7622900636,1676893698010.205,1676894845010.205,2575.7058787470114,7.813792724805214,2543.0,2602.0,3751.2844593033387,11.380087865872207,3703.6512820512817,3789.579487179488,18531.47400505391,166.0286680118517,18230.0,19097.0,135.4185519559793,15.206094599680853,96.46761881310024,168.3519553072626,7.4790315633695075,0.8476148001268726,5.939936950389912,10.366172735510712,87.0,0.0,87.0,87.0
12,1675773424.0207584,269.04409269455385,1675772958.0439465,1675773890.001644,59648.0,34437.64451875302,1,119295,144927.0,34436.489818214635,85282.0,204572.0,7921392.166173475,4823965.796470444,13.0,16776973.0,1132242.1875,269035.07670481177,666265.625,1598218.75,1675773424202.7083,269035.07670480193,1675772958226.146,1675773890179.271,2736.5852495158897,8.43324807579908,2702.0,2761.0,3985.590824935962,12.282268992444386,3935.220512820513,4021.1487179487176,1251.2231266398974,29.57645465199302,1178.0,1418.0,48.36191344246795,2.3129847864390776,37.30319510537049,55.3713420787084,20.728705433998407,1.0779966341187126,18.05988373152552,26.80735516556412,99.0,0.0,99.0,99.0
13,1676638005.4366357,349.5393515761878,1676637400.0331976,1676638610.835919,77494.0,44741.03742278074,1,154987,82635.0,44739.88272224236,5144.0,160126.0,8015549.575101785,4591513.5389282545,90.0,16777050.0,645585.9375,349530.33376753674,40187.5,1250984.375,1676638006073.926,349530.3337675188,1676637400675.4888,1676638611472.3638,2611.658730312357,8.007290631792548,2577.0,2639.0,3803.646561070305,11.661900202199867,3753.169230769231,3843.466666666666,19198.95607905383,2355.007865827436,1119.0,20346.0,80.56092585413518,7.164846434177106,54.81818181818184,92.76699029126216,12.521284448522275,1.2278730600980963,10.779696493982208,18.24212271973465,90.0,0.0,90.0,90.0
14,1676809047.9025288,336.53318352014844,1676808465.027,1676809630.7788825,74610.5,43076.24792156346,1,149220,104394.5,43075.09322102507,29787.0,179002.0,8878002.716277074,5100674.983588148,134.0,16777094.0,815582.03125,336524.1657892627,232710.9375,1398453.125,1676809048852.2732,336524.1657892571,1676808465981.1794,1676809631723.3667,2589.978212792194,7.755952417826811,2557.0,2614.0,3772.070832989657,11.29584864955523,3724.0410256410255,3807.0564102564094,18741.2952029273,135.8364071538607,18484.0,19397.0,117.6781119585057,8.974912970753596,84.04956018021885,138.1851851851852,8.55021737017932,0.6934763163398364,7.236665773251139,11.89774221133106,90.0,0.0,90.0,90.0
15,1679398718.9169679,225.11360109040714,1679398329.0239997,1679399108.8059976,49908.5,28814.541571921633,1,99816,113805.5,28813.386871383238,63900.0,163711.0,9351401.741353745,5024297.627761919,4.0,16776964.0,889105.46875,225104.58493268804,499218.75,1278992.1875,1679398719291.7925,225104.58493268557,1679398329405.0728,1679399109178.5105,2542.175499939887,7.8143174877766395,2510.0,2568.0,3702.4504717073223,11.380852136043872,3655.589743589743,3740.0615384615385,18082.60679076664,128.30241767711846,17878.0,18469.0,195.6538947374196,23.018976992713778,139.6631016042781,241.37707948244,5.187460483039865,0.6550135552940812,4.142895432094037,7.160087299460121,99.0,0.0,99.0,99.0
16,1677840709.4342868,227.14560349814425,1677840316.0244367,1677841102.842831,50359.0,29074.637868194794,1,100717,59113.0,29073.4831676564,8757.0,109469.0,9426087.34660868,4430490.099012948,163.0,16777123.0,461820.3125,227136.58724731198,68414.0625,855226.5625,1677840709885.56,227136.5872473175,1677840316479.31,1677841103291.81,2590.76690198882,7.926627165018828,2558.0,2615.0,3773.2194880247416,11.544421101872027,3725.497435897436,3808.51282051282,18580.100215463743,185.38408483956317,18118.0,19043.0,131.5756682843951,17.908295521994336,99.10321274981028,186.28388017118405,7.727279628664566,0.9464286854773272,5.368151012750316,10.09049022986305,90.0,0.0,90.0,90.0
17,1676289478.6263943,273.44744398353635,1676289005.0219998,1676289952.230605,60623.5,35000.84970635237,1,121246,86471.07368733607,35000.118616463056,25850.0,147092.0,7995702.74498936,4543954.5844267905,72.0,16777032.0,675555.2631823131,273438.4266911178,201953.125,1149156.25,1676289478951.2275,273438.4266911176,1676289005349.089,1676289952552.214,2790.9552217878295,8.193724595565273,2755.0,2816.0,4064.7758101935556,11.933424539179125,4012.410256410256,4101.251282051282,1305.9576054502566,28.34646672163417,1248.0,1441.0,44.094708811141516,1.934630092985699,36.17205009887937,48.51724137931034,22.72365664170927,1.033166282930815,20.61122956645345,27.64565451132616,99.42630441596147,0.49454117938456754,99.0,100.0
18,1677069471.138046,348.80364589469787,1677068867.0153012,1677070075.2719924,77330.5,44646.64065376775,1,154660,349904.65457531554,44645.71230234625,272577.0,427233.0,8263121.54417546,4519967.904495813,71.0,16777031.0,2733630.1138696526,348794.6273620802,2129507.8125,3337757.8125,1677069471200.481,348794.6273620802,1677068867078.179,1677070075328.179,2533.330649958618,7.974862933172379,2500.0,2559.0,3689.568741478191,11.614672169341045,3641.0256410256407,3726.9538461538455,19167.479509362714,227.7381641512506,18793.0,20105.0,94.22667241454508,9.270629467710847,64.46519664308046,113.4535186794092,10.72598695287981,1.1626560689780707,8.814182333346096,15.512246174267082,99.0,0.0,99.0,99.0
19,1676466211.9533818,366.0119040733303,1676465578.0150175,1676466845.887683,81146.0,46849.52060587173,1,162291,87992.99800969887,46848.36934580655,6849.0,169136.0,7782606.170044428,4995230.856231481,194.0,16777154.0,687445.2969507724,366002.88551411417,53507.8125,1321375.0,1676466212206.172,366002.88551411714,1676465578268.6875,1676466846135.8752,2680.201913893288,8.516508241091628,2642.0,2709.0,3903.473556644583,12.403529951135111,3847.8358974358966,3945.415384615385,18384.57149987368,119.56443788840494,18129.0,18690.0,149.84165364412428,13.649444055966269,120.65137049584231,184.35529411764708,6.7290602538509035,0.6104041448782654,5.424308560197062,8.28834347998111,98.9781744686882,0.4894956251548195,88.0,99.0
20,1675151168.760626,176.5327328317786,1675150863.015998,1675151474.508068,39138.0,22596.190497515283,1,78275,156039.0,22595.03579697688,116904.0,195174.0,8647849.722732557,5370480.159981337,240.0,16777200.0,1219054.6875,176523.71716389703,913312.5,1524796.875,1675151169222.9082,176523.71716388466,1675150863480.7207,1675151474965.096,2695.4591738958234,7.84380000674753,2661.0,2718.0,3925.6943865969934,11.423790779058269,3875.507692307692,3958.5230769230766,48092.91621417894,7771.177171506965,34397.0,53098.0,777.8190084158192,117.27388075235449,381.1784417760402,995.9097943842582,1.3223948428455845,0.25192786823031554,1.0041070041070042,2.623443223443223,88.0,0.0,88.0,88.0
21,1676633608.1673443,426.180345429517,1676632870.015004,1676634346.312632,94485.5,54551.08452175814,1,188970,147187.5,54549.929821219754,52705.0,241670.0,8673060.37341109,4723460.198788069,175.0,16777135.0,1149902.34375,426171.3267282827,411757.8125,1888046.875,1676633608341.378,426171.3267282796,1676632870196.8462,1676634346485.9087,2625.812580040854,8.002604005167612,2589.0,2654.0,3824.260372982577,11.655074551117345,3770.6461538461535,3865.31282051282,29612.13713048908,8275.356592390142,17873.0,36470.0,274.6321397778946,76.6208814288739,136.73821989528798,420.38805050816137,4.000055124132899,1.3225401928658085,2.3787545787545787,7.313244247042154,85.0,0.0,85.0,85.0
22,1675856740.2055516,325.16374739342376,1675856177.023403,1675857303.393317,72089.5,41620.74789292795,1,144178,87817.64291064964,41619.805348102615,15731.0,159905.0,8938056.177424502,5039276.009326154,66.0,16777026.0,686075.3352394502,325154.7292820516,122898.4375,1249257.8125,1675856740440.7092,325154.7292820526,1675856177263.811,1675857303623.186,2718.8308432865842,9.35479711701154,2682.0,2748.0,3959.733125607127,13.624422467839397,3906.0923076923073,4002.215384615384,17288.693516167965,6256.50789848561,1119.0,20347.0,73.18975310104125,11.342284044631585,50.57419354838712,100.52732871439568,13.981786918101472,2.08779127093144,9.947543745453151,19.772930220691407,99.85708241430494,0.349989998447493,99.0,100.0
